,buffer_moran,grassslope_moran,hedge_moran,lowtillcc_moran,pond_moran,linE,buffer_share_con,grassslope_share_con,hedge_share_con,lowtillcc_share_con,pond_share_con,lu_share,buffer_channel_frac,grassslope_channel_frac,lowtillcc_channel_frac,pond_channel_frac
buffer_moran,1.0,0.34421079659436,0.19145140898028915,-0.08853995624014047,0.027814256212033244,0.13331257944536518,0.9840200155351995,0.7476505423058046,0.20518322480666218,0.041987124093826794,0.07577127241557127,0.1785939588466128,-0.3495274045795531,-0.20747104925649848,0.09524863455832706,-0.030594298206392912
grassslope_moran,0.34421079659436,1.0,0.19037347732102758,-0.04820719421731961,0.05766672494807592,0.10299787157593945,0.3525428267331978,0.5207403267191775,0.18562820986673062,0.07534795471370573,-0.013904112963245115,0.1278293733379167,-0.06871924761770691,-0.12416182566842611,0.054076191588325814,0.05698443317775891
hedge_moran,0.19145140898028915,0.19037347732102758,1.0,-0.11296542285404369,0.15272310592994082,-0.08109658033879441,0.2062278062267272,0.2993478670177028,0.9623117008683495,0.444926574079216,0.17346924423588406,-0.122050435575045,-0.04115986307290169,-0.07922530285555245,-0.05298587467780152,0.13262116651239825
lowtillcc_moran,-0.08853995624014047,-0.04820719421731961,-0.11296542285404369,1.0,0.36051156087657843,-0.34196985922269074,-0.09185599681101529,-0.14138673733851534,-0.12816409037738166,0.20633023008981655,0.2853824725786581,-0.5285346524861153,0.015301964901591114,0.026917076656778536,-0.20692808175632146,0.2851385049643396
pond_moran,0.027814256212033244,0.05766672494807592,0.15272310592994082,0.36051156087657843,1.0,-0.31238968577161624,0.043907850784158264,0.03857967858705752,0.1761395462719844,0.4421237470947523,0.5782343323717637,-0.45512295330260616,-0.008343593597006507,0.0008449676596421369,-0.21191880186696313,0.4139371659444405
linE,0.13331257944536518,0.10299787157593945,-0.08109658033879441,-0.34196985922269074,-0.31238968577161624,1.0,0.13348202213107455,0.1738252879852793,-0.08524219075266566,-0.28506541753793874,-0.2606866457093691,0.6742629797411984,-0.054644530900546655,-0.05025564179662465,0.365560012757744,-0.26006954655408954
buffer_share_con,0.9840200155351995,0.3525428267331978,0.2062278062267272,-0.09185599681101529,0.043907850784158264,0.13348202213107455,1.0,0.7462339511131013,0.22370360259469024,0.07164100895616453,0.0933752926483745,0.16949233260517152,-0.3563350580332997,-0.21345871560751234,0.09486272637871239,-0.02074889798239985
grassslope_share_con,0.7476505423058046,0.5207403267191775,0.2993478670177028,-0.14138673733851534,0.03857967858705752,0.1738252879852793,0.7462339511131013,1.0,0.30519050048454577,0.08901906138452113,0.08247860277101397,0.19237256036923014,-0.2340304095095154,-0.23122972293389932,0.10269743257829764,-0.0038585975412481605
hedge_share_con,0.20518322480666218,0.18562820986673062,0.9623117008683495,-0.12816409037738166,0.1761395462719844,-0.08524219075266566,0.22370360259469024,0.30519050048454577,1.0,0.49379740637246616,0.19970470485448902,-0.1321160084481465,-0.05897477965285168,-0.08087998370470886,-0.05990278773290988,0.13130986798779776
lowtillcc_share_con,0.041987124093826794,0.07534795471370573,0.444926574079216,0.20633023008981655,0.4421237470947523,-0.28506541753793874,0.07164100895616453,0.08901906138452113,0.49379740637246616,1.0,0.4005840868375589,-0.46384533985951265,4.717556563608315e-05,-0.021883363749021445,-0.18935828719887832,0.37122631500800557
pond_share_con,0.07577127241557127,-0.013904112963245115,0.17346924423588406,0.2853824725786581,0.5782343323717637,-0.2606866457093691,0.0933752926483745,0.08247860277101397,0.19970470485448902,0.4005840868375589,1.0,-0.38484764729755977,-0.04639915954365849,-0.011416368887888462,-0.17325394704800642,0.04989777573904713
lu_share,0.1785939588466128,0.1278293733379167,-0.122050435575045,-0.5285346524861153,-0.45512295330260616,0.6742629797411984,0.16949233260517152,0.19237256036923014,-0.1321160084481465,-0.46384533985951265,-0.38484764729755977,1.0,-0.07573444635534841,-0.06097941187786776,0.24557679761464601,-0.3554095607497931
buffer_channel_frac,-0.3495274045795531,-0.06871924761770691,-0.04115986307290169,0.015301964901591114,-0.008343593597006507,-0.054644530900546655,-0.3563350580332997,-0.2340304095095154,-0.05897477965285168,4.717556563608315e-05,-0.04639915954365849,-0.07573444635534841,1.0,0.0784272213162424,-0.037001861410289494,0.05221528628440802
grassslope_channel_frac,-0.20747104925649848,-0.12416182566842611,-0.07922530285555245,0.026917076656778536,0.0008449676596421369,-0.05025564179662465,-0.21345871560751234,-0.23122972293389932,-0.08087998370470886,-0.021883363749021445,-0.011416368887888462,-0.06097941187786776,0.0784272213162424,1.0,-0.031562810829648666,0.040706086746530215
lowtillcc_channel_frac,0.09524863455832706,0.054076191588325814,-0.05298587467780152,-0.20692808175632146,-0.21191880186696313,0.365560012757744,0.09486272637871239,0.10269743257829764,-0.05990278773290988,-0.18935828719887832,-0.17325394704800642,0.24557679761464601,-0.037001861410289494,-0.031562810829648666,1.0,-0.1630044148244302
pond_channel_frac,-0.030594298206392912,0.05698443317775891,0.13262116651239825,0.2851385049643396,0.4139371659444405,-0.26006954655408954,-0.02074889798239985,-0.0038585975412481605,0.13130986798779776,0.37122631500800557,0.04989777573904713,-0.3554095607497931,0.05221528628440802,0.040706086746530215,-0.1630044148244302,1.0
